cluster,supported_claim_rate_%,unsupported_claim_rate_%,completeness_%,absolute_claim_flags,diagnosis_like_flags,medication_flags,alpha
low_risk,41.666666666666664,58.333333333333336,100.0,0,0,0,0.0
average_risk,50.0,50.0,100.0,5,0,0,0.0
high_risk,25.0,75.0,100.0,2,0,0,0.0
low_risk,41.666666666666664,58.333333333333336,100.0,0,0,0,0.25
average_risk,41.666666666666664,58.333333333333336,100.0,1,0,0,0.25
high_risk,41.666666666666664,58.333333333333336,100.0,2,0,0,0.25
low_risk,41.666666666666664,58.333333333333336,100.0,0,0,0,0.5
average_risk,41.666666666666664,58.333333333333336,100.0,4,0,0,0.5
high_risk,25.0,75.0,100.0,2,0,0,0.5
low_risk,41.666666666666664,58.333333333333336,100.0,0,0,0,0.75
average_risk,41.666666666666664,58.333333333333336,100.0,4,0,0,0.75
high_risk,41.666666666666664,58.333333333333336,100.0,3,0,0,0.75
low_risk,41.666666666666664,58.333333333333336,100.0,0,0,0,1.0
average_risk,41.666666666666664,58.333333333333336,100.0,3,0,0,1.0
high_risk,25.0,75.0,100.0,2,0,0,1.0
